state,county_name,fips_code,total_deaths,covid19_deaths
SD,Yankton County,46135,1135,122
TN,Anderson County,47001,4744,415
TN,Bedford County,47003,1513,130
TN,Blount County,47009,6208,524
TN,Bradley County,47011,4827,449
TN,Campbell County,47013,2189,132
TN,Carroll County,47017,1375,129
TN,Carter County,47019,2779,253
TN,Claiborne County,47025,1644,161
TN,Cocke County,47029,2134,227
TN,Coffee County,47031,2886,221
TN,Cumberland County,47035,3707,300
TN,Davidson County,47037,39674,3990
TN,Dickson County,47043,2646,351
TN,Dyer County,47045,1986,211
TN,Franklin County,47051,2007,185
TN,Gibson County,47053,2211,110
TN,Giles County,47055,1359,117
TN,Greene County,47059,3440,265
TN,Hamblen County,47063,3796,405
TN,Hamilton County,47065,22369,2269
TN,Henry County,47079,1748,125
TN,Jefferson County,47089,2662,268
TN,Knox County,47093,29286,2705
TN,Lawrence County,47099,1803,135
TN,Lincoln County,47103,1397,103
TN,Loudon County,47105,2089,133
TN,McMinn County,47107,2699,174
TN,Madison County,47113,9215,1419
TN,Maury County,47119,5378,658
TN,Monroe County,47123,2188,223
TN,Montgomery County,47125,5999,538
TN,Obion County,47131,1475,161
TN,Putnam County,47141,4990,542
TN,Rhea County,47143,1534,101
TN,Roane County,47145,2638,219
TN,Robertson County,47147,2626,227
TN,Rutherford County,47149,11281,1326
TN,Sevier County,47155,3984,373
TN,Shelby County,47157,44956,4070
TN,Sullivan County,47163,13551,1466
TN,Sumner County,47165,6986,796
TN,Warren County,47177,1682,136
TN,Washington County,47179,10138,1004
TN,Weakley County,47183,1403,110
TN,Williamson County,47187,4918,444
TN,Wilson County,47189,4282,381
TX,Anderson County,48001,2295,229
TX,Angelina County,48005,4588,627
TX,Atascosa County,48013,1555,177
