Date,"Time series"
2022-06-10,841
2022-06-11,575
2022-06-12,671
2022-06-13,950
2022-06-14,858
2022-06-15,915
2022-06-16,1033
2022-06-17,781
2022-06-18,550
2022-06-19,609
2022-06-20,908
2022-06-21,879
2022-06-22,812
2022-06-23,751
2022-06-24,860
2022-06-25,581
2022-06-26,595
2022-06-27,874
2022-06-28,909
2022-06-29,923
2022-06-30,858
2022-07-01,728
2022-07-02,557
2022-07-03,525
2022-07-04,786
2022-07-05,802
2022-07-06,834
2022-07-07,809
2022-07-08,697
2022-07-09,471
2022-07-10,594
2022-07-11,775
2022-07-12,885
2022-07-13,851
2022-07-14,873
2022-07-15,740
2022-07-16,523
2022-07-17,623
2022-07-18,848
2022-07-19,808
2022-07-20,900
2022-07-21,809
2022-07-22,694
2022-07-23,567
2022-07-24,579
2022-07-25,885
2022-07-26,920
2022-07-27,853
2022-07-28,710
2022-07-29,728
2022-07-30,483
2022-07-31,510
2022-08-01,840
2022-08-02,809
2022-08-03,790
2022-08-04,770
2022-08-05,670
2022-08-06,421
2022-08-07,559
2022-08-08,721
2022-08-09,762
2022-08-10,755
2022-08-11,731
2022-08-12,619
2022-08-13,452
2022-08-14,529
2022-08-15,735
2022-08-16,818
2022-08-17,811
2022-08-18,672
2022-08-19,645
2022-08-20,554
2022-08-21,554
2022-08-22,824
2022-08-23,756
2022-08-24,848
2022-08-25,762
2022-08-26,778
2022-08-27,470
2022-08-28,521
2022-08-29,761
2022-08-30,868
2022-08-31,859
2022-09-01,816
2022-09-02,733
2022-09-03,525
2022-09-04,611
2022-09-05,795
2022-09-06,838
2022-09-07,899
2022-09-08,901
2022-09-09,721
2022-09-10,564
2022-09-11,603
2022-09-12,986
2022-09-13,1090
2022-09-14,980
2022-09-15,999
2022-09-16,851
2022-09-17,615
2022-09-18,620
2022-09-19,951
2022-09-20,1081
2022-09-21,988
2022-09-22,1063
2022-09-23,887
2022-09-24,533
2022-09-25,587
2022-09-26,978
2022-09-27,1022
2022-09-28,960
2022-09-29,950
2022-09-30,834
2022-10-01,524
2022-10-02,699
2022-10-03,848
2022-10-04,806
2022-10-05,892
2022-10-06,947
2022-10-07,764
2022-10-08,608
2022-10-09,577
2022-10-10,955
2022-10-11,963
2022-10-12,985
2022-10-13,880
2022-10-14,871
2022-10-15,539
2022-10-16,584
2022-10-17,966
2022-10-18,1047
2022-10-19,1082
2022-10-20,863
2022-10-21,821
2022-10-22,600
2022-10-23,624
2022-10-24,911
2022-10-25,974
2022-10-26,956
2022-10-27,926
2022-10-28,817
2022-10-29,557
2022-10-30,641
2022-10-31,915
2022-11-01,984
2022-11-02,955
2022-11-03,1002
2022-11-04,908
2022-11-05,543
2022-11-06,755
2022-11-07,1024
2022-11-08,1064
2022-11-09,1099
2022-11-10,964
2022-11-11,872
2022-11-12,611
2022-11-13,735
2022-11-14,1165
2022-11-15,1086
2022-11-16,1004
2022-11-17,1034
2022-11-18,837
2022-11-19,597
2022-11-20,728
2022-11-21,919
2022-11-22,1038
2022-11-23,947
2022-11-24,1076
2022-11-25,861
2022-11-26,616
2022-11-27,729
2022-11-28,1049
2022-11-29,1122
2022-11-30,965
2022-12-01,1061
2022-12-02,932
2022-12-03,647
2022-12-04,786
2022-12-05,1013
2022-12-06,1018
2022-12-07,963
2022-12-08,1010
2022-12-09,838
2022-12-10,593
2022-12-11,596
2022-12-12,909
2022-12-13,988
2022-12-14,996
2022-12-15,880
2022-12-16,705
2022-12-17,555
2022-12-18,586
2022-12-19,809
2022-12-20,822
2022-12-21,729
2022-12-22,699
2022-12-23,517
2022-12-24,405
2022-12-25,386
2022-12-26,525
2022-12-27,537
